player_id,player_name,season,valid_from_season,team_id,primary_position,age,matches_played,starts,minutes_played,minutes_per_90,goals,assists,goals_assists,non_pen_goals,xg,xag,npxg,npxg_xag,shots,shots_on_target,sot_pct,avg_shot_distance,goals_per_shot,goals_per_sot,goals_per_90,assists_per_90,xg_per_90,xag_per_90,npxg_per_90,g_a_per_90,shots_per_90,sot_per_90,sca,gca,sca_per_90,gca_per_90,sca_per_90_calc,gca_per_90_calc,key_passes,passes_into_box,prog_passes,prog_carries,prog_receptions,tackles,tackles_won,interceptions,clearances,blocks,errors_leading_to_shot,tackles_per_90,interceptions_per_90,yellows,reds,fouls_committed,fouls_drawn,touches,carries,carry_dist,progressive_carry_dist,dribbles_attempted,dribbles_completed,dribble_success_rate,miscontrols,dispossessed,performance_score
1,Ben White,2025/26,2026/27,1,DF,27.0,1,1,70.0,0.8,0,0,0,0,0.0,0.0,0.0,0.1,1,0,0.0,29.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,2,0,2.57,0.0,2.5,0.0,1,0,4,1,0,2,1,1,4,2,0,2.5,1.25,0,0,2,0,38,13,53,25,1,1,100.0,0,0,0.38795379537953795
2,Bukayo Saka,2025/26,2026/27,1,FW,24.0,2,2,142.0,1.6,1,0,1,1,0.3,0.1,0.3,0.4,2,1,50.0,11.0,0.5,1.0,0.625,0.0,0.18749999999999997,0.0625,0.18749999999999997,0.625,1.25,0.625,4,0,2.54,0.0,2.5,0.0,3,1,2,5,15,3,2,0,0,1,0,1.875,0.0,0,0,0,1,62,41,329,182,10,3,30.0,4,2,0.5597359735973597
3,Cristhian Mosquera,2025/26,2026/27,1,DF,21.0,3,1,203.0,2.3,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.44,0.0,0.4347826086956522,0.0,0,0,5,2,0,8,6,2,7,3,0,3.4782608695652177,0.8695652173913044,0,0,0,0,168,112,602,337,1,0,0.0,1,0,0.49768976897689765
4,David Raya,2025/26,2026/27,1,GK,30.0,4,4,360.0,4.0,0,0,0,0,0.0,0.1,0.0,0.1,0,0,,,,,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,2,0,0.5,0.0,0.5,0.0,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1,0,0,0,159,104,399,188,0,0,,0,0,0.30503300330033
5,Declan Rice,2025/26,2026/27,1,MF,26.0,4,3,285.0,3.2,0,1,1,0,0.1,0.5,0.1,0.7,4,0,0.0,26.1,0.0,,0.0,0.3125,0.03125,0.15625,0.03125,0.3125,1.25,0.0,7,2,2.21,0.63,2.1875,0.625,4,1,13,7,1,1,1,3,2,3,0,0.3125,0.9375,0,0,3,0,188,114,619,254,3,2,66.7,4,2,0.6726072607260726
6,Eberechi Eze,2025/26,2026/27,1,FW,27.0,2,1,99.0,1.1,0,1,1,0,0.1,0.5,0.1,0.5,2,0,0.0,19.7,0.0,,0.0,0.9090909090909091,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.9090909090909091,1.8181818181818181,0.0,5,1,4.55,0.91,4.545454545454545,0.9090909090909091,1,1,4,5,10,0,0,0,0,1,0,0.0,0.0,0,0,0,2,50,33,306,191,8,4,50.0,3,0,0.5415841584158415
7,Ethan Nwaneri,2025/26,2026/27,1,MF,18.0,2,0,126.0,1.4,0,0,0,0,0.2,0.0,0.2,0.2,4,0,0.0,18.1,0.0,,0.0,0.0,0.14285714285714288,0.0,0.14285714285714288,0.0,2.857142857142857,0.0,4,1,2.86,0.71,2.857142857142857,0.7142857142857143,1,0,9,5,5,0,0,0,1,3,0,0.0,0.0,0,0,1,0,85,53,448,227,5,2,40.0,1,2,0.4900990099009901
8,Gabriel Magalhães,2025/26,2026/27,1,DF,27.0,4,4,360.0,4.0,0,0,0,0,0.3,0.0,0.3,0.3,4,0,0.0,17.2,0.0,,0.0,0.0,0.075,0.0,0.075,0.0,1.0,0.0,5,0,1.25,0.0,1.25,0.0,0,0,17,4,1,4,3,3,13,9,0,1.0,0.75,0,0,2,5,281,176,884,576,2,1,50.0,3,0,0.6313531353135313
9,Gabriel Martinelli,2025/26,2026/27,1,FW,24.0,3,2,141.0,1.6,0,0,0,0,0.0,0.0,0.0,0.1,1,1,100.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625,1,0,0.64,0.0,0.625,0.0,1,0,3,4,4,2,2,0,0,1,0,1.25,0.0,0,0,0,2,33,17,202,129,1,0,0.0,5,1,0.3586633663366337
10,Jurriën Timber,2025/26,2026/27,1,DF,24.0,4,3,263.0,2.9,2,1,3,2,1.1,0.2,1.1,1.3,5,3,60.0,6.4,0.4,0.67,0.6896551724137931,0.3448275862068966,0.37931034482758624,0.06896551724137931,0.37931034482758624,1.0344827586206897,1.7241379310344829,1.0344827586206897,8,2,2.74,0.68,2.7586206896551726,0.6896551724137931,3,3,20,7,8,10,5,2,11,2,0,3.4482758620689657,0.6896551724137931,1,0,5,4,172,91,496,279,8,1,12.5,5,2,0.8382013201320132
