player_id,season,team_id,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,2025/26,1,27.0,1,1,70.0,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.07,1,4,0,1,0,0.0,1.29,0.0,0.0,,29.2,0,0,0,0.0,0.0,0.01,0.0,0.0,21,27,77.8,353,131,0,0.0,0.0,0.0,1,5,0,0,4,22,5,0,0,0,1,5,0,0,0,0,21,2,1,2,0,0,1,0.0,1,2,1,1,1,3,4,0,2,2.57,2,0,0,0,0,0,0,0.0,38,4,11,20,8,0,38,1,1,100.0,0,0.0,13,53,25,1,1,0,0,0,14,0,0,0,0,2,0,0,1,1,1,0,0,0,4,2,1,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025/26,1,24.0,2,2,142.0,1.6,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,0.63,0.23,5,2,15,2,1,50.0,1.27,0.63,0.5,1.0,11.0,0,0,0,0.3,0.3,0.13,0.7,0.7,33,40,82.5,541,70,0,0.1,0.1,-0.1,3,0,1,0,2,35,5,0,0,0,7,2,3,2,0,0,33,3,2,1,2,0,2,50.0,1,1,0,1,0,3,0,0,4,2.54,3,0,1,0,0,0,0,0.0,62,1,4,20,39,5,62,10,3,30.0,7,70.0,41,329,182,5,3,3,4,2,40,15,0,0,0,0,1,0,7,0,2,0,0,0,6,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025/26,1,21.0,3,1,203.0,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,135,148,91.2,2325,692,0,0.0,0.0,0.0,0,3,0,0,5,143,4,0,0,0,0,4,0,0,0,0,135,8,6,3,4,1,3,100.0,0,3,2,1,2,10,7,0,1,0.44,1,0,0,0,0,0,0,0.0,168,12,79,83,7,2,168,1,0,0.0,1,100.0,112,602,337,2,1,0,1,0,118,0,0,0,0,0,0,1,0,2,6,0,0,0,9,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025/26,1,30.0,4,4,360.0,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,0.01,0,1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,117,153,76.5,3340,2465,0,0.1,0.0,-0.1,1,10,0,0,1,130,23,11,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,0.5,2,0,0,0,0,0,0,0.0,159,115,151,9,0,0,159,0,0,,0,,104,399,188,0,0,0,0,0,92,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,100.0,1.0,0.25,12.0,11.0,91.7,3.0,0.0,1.0,3.0,75.0,0.0,0.0,0.0,0.0,1.2,0.1,0.2,0.06,24.0,59.0,40.7,141.0,22.0,34.0,33.3,29.0,5.0,17.2,4.0,1.0,14.6
5,2025/26,1,26.0,4,3,285.0,3.2,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.7,0.32,0.21,7,13,1,4,0,0.0,1.26,0.0,0.0,,26.1,2,0,0,0.1,0.1,0.04,-0.1,-0.1,145,168,86.3,2538,610,1,0.5,0.7,0.5,4,9,1,0,13,150,18,6,0,1,13,1,10,4,6,0,145,1,1,0,1,0,2,0.0,2,3,2,1,3,4,2,0,7,2.21,3,4,0,0,0,0,2,0.63,188,11,46,100,45,4,188,3,2,66.7,1,33.3,114,619,254,7,4,1,4,2,128,1,0,0,0,3,0,0,13,3,1,0,0,0,15,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025/26,1,27.0,2,1,99.0,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.5,0.91,0.47,5,4,10,2,0,0.0,1.82,0.0,0.0,,19.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,29,35,82.9,431,100,1,0.5,0.5,0.5,1,1,1,0,4,34,1,0,1,1,2,0,1,1,0,0,29,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,5,4.55,4,0,1,0,0,0,1,0.91,50,0,2,16,33,4,50,8,4,50.0,4,50.0,33,306,191,5,3,1,3,0,40,10,0,0,0,0,2,1,2,0,0,0,0,0,3,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025/26,1,18.0,2,0,126.0,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.15,5,9,5,4,0,0.0,2.86,0.0,0.0,,18.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,60,66,90.9,1167,269,0,0.0,0.0,0.0,1,5,0,0,9,62,4,2,1,1,1,0,0,0,0,0,60,0,0,0,0,0,1,0.0,1,3,0,3,0,0,1,0,4,2.86,3,0,0,1,0,0,1,0.71,85,2,9,47,31,5,85,5,2,40.0,3,60.0,53,448,227,5,5,0,1,2,66,5,0,0,0,1,0,0,1,0,0,0,0,0,6,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025/26,1,27.0,4,4,360.0,4.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0.0,0.07,4,17,1,4,0,0.0,1.0,0.0,0.0,,17.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3,212,239,88.7,3948,1100,0,0.0,0.0,0.0,0,10,0,0,17,224,15,5,0,1,0,0,0,0,0,0,212,4,3,3,1,0,2,50.0,1,9,7,2,3,7,13,0,5,1.25,2,0,0,2,1,0,0,0.0,281,40,124,134,23,5,281,2,1,50.0,1,50.0,176,884,576,4,2,0,3,0,204,1,0,0,0,2,5,0,0,3,3,0,0,0,10,7,6,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025/26,1,24.0,3,2,141.0,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.04,4,3,4,1,1,100.0,0.64,0.64,0.0,0.0,16.6,0,0,0,0.0,0.0,0.02,0.0,0.0,13,21,61.9,249,38,0,0.0,0.0,0.0,1,1,0,0,3,19,1,1,0,1,2,0,0,0,0,0,13,2,2,0,2,0,2,50.0,1,1,0,1,0,2,0,0,1,0.64,1,0,0,0,0,0,0,0.0,33,1,7,12,17,6,33,1,0,0.0,1,100.0,17,202,129,4,3,1,5,1,14,4,0,0,0,0,2,0,2,0,2,0,0,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2025/26,1,24.0,4,3,263.0,2.9,2,1,3,2,0,0,1,0,1.1,1.1,0.2,1.3,1.03,0.44,7,20,8,5,3,60.0,1.71,1.03,0.4,0.67,6.4,0,0,0,1.1,1.1,0.24,0.9,0.9,109,129,84.5,1863,564,1,0.2,0.1,0.8,3,14,3,0,20,106,23,2,2,1,2,21,0,0,0,0,109,10,5,4,3,3,5,80.0,1,2,0,2,2,12,11,0,8,2.74,4,1,0,3,0,0,2,0.68,172,10,36,86,54,9,172,8,1,12.5,6,75.0,91,496,279,7,7,0,5,2,101,8,1,0,0,5,4,0,2,2,5,0,0,0,8,4,2,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
