player_id,player_name,nation,birth_year,position,primary_position,team_id,team_name,comp
1,Ben White,eng ENG,1997.0,DF,DF,1,Arsenal,eng Premier League
2,Bukayo Saka,eng ENG,2001.0,FW,FW,1,Arsenal,eng Premier League
3,Cristhian Mosquera,es ESP,2004.0,DF,DF,1,Arsenal,eng Premier League
4,David Raya,es ESP,1995.0,GK,GK,1,Arsenal,eng Premier League
5,Declan Rice,eng ENG,1999.0,MF,MF,1,Arsenal,eng Premier League
6,Eberechi Eze,eng ENG,1998.0,FW,FW,1,Arsenal,eng Premier League
7,Ethan Nwaneri,eng ENG,2007.0,MF,MF,1,Arsenal,eng Premier League
8,Gabriel Magalhães,br BRA,1997.0,DF,DF,1,Arsenal,eng Premier League
9,Gabriel Martinelli,br BRA,2001.0,FW,FW,1,Arsenal,eng Premier League
10,Jurriën Timber,nl NED,2001.0,DF,DF,1,Arsenal,eng Premier League
11,Kai Havertz,de GER,1999.0,FW,FW,1,Arsenal,eng Premier League
12,Leandro Trossard,be BEL,1994.0,FW,FW,1,Arsenal,eng Premier League
13,Martin Ødegaard,no NOR,1998.0,MF,MF,1,Arsenal,eng Premier League
14,Martín Zubimendi,es ESP,1999.0,MF,MF,1,Arsenal,eng Premier League
15,Max Dowman,eng ENG,2009.0,FW,FW,1,Arsenal,eng Premier League
16,Mikel Merino,es ESP,1996.0,"MF,FW",MF,1,Arsenal,eng Premier League
17,Myles Lewis-Skelly,eng ENG,2006.0,DF,DF,1,Arsenal,eng Premier League
18,Noni Madueke,eng ENG,2002.0,FW,FW,1,Arsenal,eng Premier League
19,Riccardo Calafiori,it ITA,2002.0,DF,DF,1,Arsenal,eng Premier League
20,Viktor Gyökeres,se SWE,1998.0,FW,FW,1,Arsenal,eng Premier League
21,William Saliba,fr FRA,2001.0,DF,DF,1,Arsenal,eng Premier League
22,Amadou Onana,be BEL,2001.0,MF,MF,2,Aston Villa,eng Premier League
23,Boubacar Kamara,fr FRA,1999.0,"MF,DF",MF,2,Aston Villa,eng Premier League
24,Bradley Paul Burrowes,eng ENG,2008.0,DF,DF,2,Aston Villa,eng Premier League
25,Donyell Malen,nl NED,1999.0,"FW,MF",FW,2,Aston Villa,eng Premier League
26,Emi Buendía,ar ARG,1996.0,"MF,FW",MF,2,Aston Villa,eng Premier League
27,Emiliano Martínez,ar ARG,1992.0,GK,GK,2,Aston Villa,eng Premier League
28,Evann Guessand,ci CIV,2001.0,"FW,MF",FW,2,Aston Villa,eng Premier League
29,Ezri Konsa,eng ENG,1997.0,DF,DF,2,Aston Villa,eng Premier League
30,Harvey Elliott,eng ENG,2003.0,"MF,FW",MF,2,Aston Villa,eng Premier League
31,Ian Maatsen,nl NED,2002.0,DF,DF,2,Aston Villa,eng Premier League
32,John McGinn,sct SCO,1994.0,"FW,MF",FW,2,Aston Villa,eng Premier League
33,Lamare Bogarde,nl NED,2004.0,MF,MF,2,Aston Villa,eng Premier League
34,Lucas Digne,fr FRA,1993.0,DF,DF,2,Aston Villa,eng Premier League
35,Marco Bizot,nl NED,1991.0,GK,GK,2,Aston Villa,eng Premier League
36,Matty Cash,pl POL,1997.0,DF,DF,2,Aston Villa,eng Premier League
37,Morgan Rogers,eng ENG,2002.0,"FW,MF",FW,2,Aston Villa,eng Premier League
38,Ollie Watkins,eng ENG,1995.0,FW,FW,2,Aston Villa,eng Premier League
39,Pau Torres,es ESP,1997.0,DF,DF,2,Aston Villa,eng Premier League
40,Tyrone Mings,eng ENG,1993.0,DF,DF,2,Aston Villa,eng Premier League
41,Victor Lindelöf,se SWE,1994.0,MF,MF,2,Aston Villa,eng Premier League
42,Youri Tielemans,be BEL,1997.0,MF,MF,2,Aston Villa,eng Premier League
43,Adam Smith,eng ENG,1991.0,DF,DF,3,Bournemouth,eng Premier League
44,Adrien Truffert,fr FRA,2001.0,DF,DF,3,Bournemouth,eng Premier League
45,Alex Scott,eng ENG,2003.0,MF,MF,3,Bournemouth,eng Premier League
46,Amine Adli,ma MAR,2000.0,"MF,FW",MF,3,Bournemouth,eng Premier League
47,Antoine Semenyo,gh GHA,2000.0,"FW,MF",FW,3,Bournemouth,eng Premier League
48,Bafodé Diakité,fr FRA,2001.0,DF,DF,3,Bournemouth,eng Premier League
49,Ben Winterburn,eng ENG,2004.0,MF,MF,3,Bournemouth,eng Premier League
50,David Brooks,wls WAL,1997.0,"MF,FW",MF,3,Bournemouth,eng Premier League
51,Eli Junior Kroupi,fr FRA,2006.0,"FW,MF",FW,3,Bournemouth,eng Premier League
52,Evanilson,br BRA,1999.0,FW,FW,3,Bournemouth,eng Premier League
53,Hamed Junior Traorè,ci CIV,2000.0,MF,MF,3,Bournemouth,eng Premier League
54,James Hill,eng ENG,2002.0,DF,DF,3,Bournemouth,eng Premier League
55,Julio Soler,ar ARG,2005.0,FW,FW,3,Bournemouth,eng Premier League
56,Justin Kluivert,nl NED,1999.0,"MF,FW",MF,3,Bournemouth,eng Premier League
57,Lewis Cook,eng ENG,1997.0,MF,MF,3,Bournemouth,eng Premier League
58,Marcos Senesi,ar ARG,1997.0,DF,DF,3,Bournemouth,eng Premier League
59,Marcus Tavernier,eng ENG,1999.0,MF,MF,3,Bournemouth,eng Premier League
60,Ryan Christie,sct SCO,1995.0,MF,MF,3,Bournemouth,eng Premier League
61,Tyler Adams,us USA,1999.0,MF,MF,3,Bournemouth,eng Premier League
62,Veljko Milosavljević,rs SRB,2007.0,DF,DF,3,Bournemouth,eng Premier League
63,Álex Jiménez,es ESP,2005.0,DF,DF,3,Bournemouth,eng Premier League
64,Đorđe Petrović,rs SRB,1999.0,GK,GK,3,Bournemouth,eng Premier League
65,Aaron Hickey,sct SCO,2002.0,"DF,FW",DF,4,Brentford,eng Premier League
66,Antoni Milambo,nl NED,2005.0,MF,MF,4,Brentford,eng Premier League
67,Caoimhín Kelleher,ie IRL,1998.0,GK,GK,4,Brentford,eng Premier League
68,Dango Ouattara,bf BFA,2002.0,FW,FW,4,Brentford,eng Premier League
69,Ethan Pinnock,jm JAM,1993.0,DF,DF,4,Brentford,eng Premier League
70,Fabio Carvalho,pt POR,2002.0,"FW,MF",FW,4,Brentford,eng Premier League
71,Frank Onyeka,ng NGA,1998.0,MF,MF,4,Brentford,eng Premier League
72,Jordan Henderson,eng ENG,1990.0,MF,MF,4,Brentford,eng Premier League
73,Keane Lewis-Potter,eng ENG,2001.0,"DF,FW",DF,4,Brentford,eng Premier League
74,Kevin Schade,de GER,2001.0,FW,FW,4,Brentford,eng Premier League
75,Kristoffer Ajer,no NOR,1998.0,DF,DF,4,Brentford,eng Premier League
76,Mathias Jensen,dk DEN,1996.0,MF,MF,4,Brentford,eng Premier League
77,Michael Kayode,it ITA,2004.0,DF,DF,4,Brentford,eng Premier League
78,Mikkel Damsgaard,dk DEN,2000.0,MF,MF,4,Brentford,eng Premier League
79,Nathan Collins,ie IRL,2001.0,DF,DF,4,Brentford,eng Premier League
80,Rico Henry,eng ENG,1997.0,DF,DF,4,Brentford,eng Premier League
81,Sepp van den Berg,nl NED,2001.0,DF,DF,4,Brentford,eng Premier League
82,Thiago,br BRA,2001.0,FW,FW,4,Brentford,eng Premier League
83,Yehor Yarmoliuk,ua UKR,2004.0,MF,MF,4,Brentford,eng Premier League
84,Bart Verbruggen,nl NED,2002.0,GK,GK,5,Brighton,eng Premier League
85,Brajan Gruda,de GER,2004.0,"MF,FW",MF,5,Brighton,eng Premier League
86,Carlos Baleba,cm CMR,2004.0,MF,MF,5,Brighton,eng Premier League
87,Danny Welbeck,eng ENG,1990.0,FW,FW,5,Brighton,eng Premier League
88,Diego Coppola,it ITA,2003.0,DF,DF,5,Brighton,eng Premier League
89,Diego Gómez,py PAR,2003.0,MF,MF,5,Brighton,eng Premier League
90,Ferdi Kadioglu,tr TUR,1999.0,"DF,FW",DF,5,Brighton,eng Premier League
91,Georginio Rutter,fr FRA,2002.0,"FW,MF",FW,5,Brighton,eng Premier League
92,Jack Hinshelwood,eng ENG,2005.0,MF,MF,5,Brighton,eng Premier League
93,James Milner,eng ENG,1986.0,MF,MF,5,Brighton,eng Premier League
94,Jan Paul van Hecke,nl NED,2000.0,DF,DF,5,Brighton,eng Premier League
