team_id,team_name,season,mp,wins,draws,losses,points,goals_for,goals_against,goal_difference,clean_sheets,failed_to_score,home_mp,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_mp,away_wins,away_draws,away_losses,away_goals_for,away_goals_against,shots_for,shots_against,sot_for,sot_against,fouls_for,fouls_against,corners_for,corners_against,yellows_for,yellows_against,reds_for,reds_against,ppg,win_rate,draw_rate,loss_rate,avg_goals_for,avg_goals_against,avg_goal_difference
20,Man City,2018/19,38,32,2,4,98,95,23,72,20,2,19,18,0,1,57,12,19,14,2,3,38,11,683,236,260,83,328,320,287,82,44,54,1,2,2.5789473684210527,0.8421052631578947,0.05263157894736842,0.10526315789473684,2.5,0.6052631578947368,1.894736842105263
18,Liverpool,2018/19,38,30,7,1,97,89,22,67,21,3,19,17,2,0,55,10,19,13,5,1,34,12,574,307,226,97,315,366,249,126,37,48,2,1,2.5526315789473686,0.7894736842105263,0.18421052631578946,0.02631578947368421,2.3421052631578947,0.5789473684210527,1.763157894736842
8,Chelsea,2018/19,38,21,9,8,72,63,39,24,16,10,19,12,6,1,39,12,19,9,3,7,24,27,606,347,198,127,339,431,215,141,49,63,0,0,1.894736842105263,0.5526315789473685,0.23684210526315788,0.21052631578947367,1.6578947368421053,1.0263157894736843,0.631578947368421
28,Tottenham,2018/19,38,23,2,13,71,67,39,28,13,6,19,12,2,5,34,16,19,11,0,8,33,23,536,463,189,159,375,386,194,187,56,61,3,2,1.868421052631579,0.6052631578947368,0.05263157894736842,0.34210526315789475,1.763157894736842,1.0263157894736843,0.7368421052631579
1,Arsenal,2018/19,38,21,7,10,70,73,51,22,8,4,19,14,3,2,42,16,19,7,4,8,31,35,466,494,170,183,412,469,212,184,72,75,2,2,1.8421052631578947,0.5526315789473685,0.18421052631578946,0.2631578947368421,1.9210526315789473,1.3421052631578947,0.5789473684210527
21,Man United,2018/19,38,19,9,10,66,65,54,11,7,7,19,10,6,3,33,25,19,9,3,7,32,29,526,493,225,173,433,409,200,186,73,67,4,1,1.736842105263158,0.5,0.23684210526315788,0.2631578947368421,1.7105263157894737,1.4210526315789473,0.2894736842105263
32,Wolves,2018/19,38,16,9,13,57,47,46,1,9,11,19,10,4,5,28,21,19,6,5,8,19,25,474,456,151,148,409,334,195,190,72,75,1,4,1.5,0.42105263157894735,0.23684210526315788,0.34210526315789475,1.236842105263158,1.2105263157894737,0.02631578947368421
11,Everton,2018/19,38,15,9,14,54,54,46,8,14,10,19,10,4,5,30,21,19,5,5,9,24,25,495,402,169,137,432,440,215,179,55,75,4,2,1.4210526315789473,0.39473684210526316,0.23684210526315788,0.3684210526315789,1.4210526315789473,1.2105263157894737,0.21052631578947367
17,Leicester,2018/19,38,15,7,16,52,51,48,3,10,8,19,8,3,8,24,20,19,7,4,8,27,28,515,426,184,139,351,401,210,202,57,67,5,6,1.368421052631579,0.39473684210526316,0.18421052631578946,0.42105263157894735,1.3421052631578947,1.263157894736842,0.07894736842105263
31,West Ham,2018/19,38,15,7,16,52,52,55,-3,7,14,19,9,4,6,32,27,19,6,3,10,20,28,441,528,157,200,331,401,187,209,59,58,1,1,1.368421052631579,0.39473684210526316,0.18421052631578946,0.42105263157894735,1.368421052631579,1.4473684210526316,-0.07894736842105263
29,Watford,2018/19,38,14,8,16,50,52,59,-7,7,10,19,8,3,8,26,28,19,6,5,8,26,31,434,490,151,184,433,403,177,210,77,47,4,3,1.3157894736842106,0.3684210526315789,0.21052631578947367,0.42105263157894735,1.368421052631579,1.5526315789473684,-0.18421052631578946
10,Crystal Palace,2018/19,38,14,7,17,49,51,53,-2,12,11,19,5,5,9,19,23,19,9,2,8,32,30,491,525,146,164,386,408,205,216,58,61,2,2,1.2894736842105263,0.3684210526315789,0.18421052631578946,0.4473684210526316,1.3421052631578947,1.394736842105263,-0.05263157894736842
3,Bournemouth,2018/19,38,13,6,19,45,56,70,-14,10,12,19,8,5,6,30,25,19,5,1,13,26,45,447,521,163,175,339,455,191,225,60,86,1,9,1.1842105263157894,0.34210526315789475,0.15789473684210525,0.5,1.4736842105263157,1.8421052631578947,-0.3684210526315789
22,Newcastle,2018/19,38,12,9,17,45,42,48,-6,11,13,19,8,1,10,24,25,19,4,8,7,18,23,444,489,142,148,422,349,181,231,57,58,2,1,1.1842105263157894,0.3157894736842105,0.23684210526315788,0.4473684210526316,1.105263157894737,1.263157894736842,-0.15789473684210525
6,Burnley,2018/19,38,11,7,20,40,45,68,-23,8,12,19,7,2,10,24,32,19,4,5,10,21,36,359,650,115,210,359,376,140,245,75,56,1,3,1.0526315789473684,0.2894736842105263,0.18421052631578946,0.5263157894736842,1.1842105263157894,1.7894736842105263,-0.6052631578947368
26,Southampton,2018/19,38,9,12,17,39,45,65,-20,7,10,19,5,8,6,27,30,19,4,4,11,18,35,480,523,162,179,420,351,193,213,71,61,3,1,1.0263157894736843,0.23684210526315788,0.3157894736842105,0.4473684210526316,1.1842105263157894,1.7105263157894737,-0.5263157894736842
5,Brighton,2018/19,38,9,9,20,36,35,60,-25,7,13,19,6,5,8,19,28,19,3,4,12,16,32,365,582,108,175,463,322,156,216,60,51,4,2,0.9473684210526315,0.23684210526315788,0.23684210526315788,0.5263157894736842,0.9210526315789473,1.5789473684210527,-0.6578947368421053
7,Cardiff,2018/19,38,10,4,24,34,34,69,-35,10,17,19,6,2,11,21,38,19,4,2,13,13,31,417,571,126,212,384,415,168,260,65,48,1,3,0.8947368421052632,0.2631578947368421,0.10526315789473684,0.631578947368421,0.8947368421052632,1.8157894736842106,-0.9210526315789473
12,Fulham,2018/19,38,7,5,26,26,34,81,-47,5,15,19,6,3,10,22,36,19,1,2,16,12,45,453,583,149,225,423,354,161,226,68,43,2,0,0.6842105263157895,0.18421052631578946,0.13157894736842105,0.6842105263157895,0.8947368421052632,2.1315789473684212,-1.236842105263158
13,Huddersfield,2018/19,38,3,7,28,16,22,76,-54,5,19,19,2,3,14,10,31,19,1,4,14,12,45,400,520,118,191,420,384,162,170,55,66,4,2,0.42105263157894735,0.07894736842105263,0.18421052631578946,0.7368421052631579,0.5789473684210527,2.0,-1.4210526315789473
18,Liverpool,2019/20,38,32,3,3,99,85,33,52,15,3,19,18,1,0,52,16,19,14,2,3,33,17,590,343,231,109,331,322,258,160,38,47,1,0,2.6052631578947367,0.8421052631578947,0.07894736842105263,0.07894736842105263,2.236842105263158,0.868421052631579,1.368421052631579
20,Man City,2019/20,38,26,3,9,81,102,35,67,17,4,19,15,2,2,57,13,19,11,1,7,45,22,745,279,263,115,361,312,298,98,60,53,4,1,2.1315789473684212,0.6842105263157895,0.07894736842105263,0.23684210526315788,2.6842105263157894,0.9210526315789473,1.763157894736842
8,Chelsea,2019/20,38,20,6,12,66,69,54,15,9,7,19,11,3,5,30,16,19,9,3,7,39,38,625,322,223,117,386,397,247,133,60,76,0,3,1.736842105263158,0.5263157894736842,0.15789473684210525,0.3157894736842105,1.8157894736842106,1.4210526315789473,0.39473684210526316
21,Man United,2019/20,38,18,12,8,66,66,36,30,13,8,19,10,7,2,40,17,19,8,5,6,26,19,543,387,216,128,433,450,204,186,72,77,0,2,1.736842105263158,0.47368421052631576,0.3157894736842105,0.21052631578947367,1.736842105263158,0.9473684210526315,0.7894736842105263
17,Leicester,2019/20,38,18,8,12,62,67,41,26,13,9,19,11,4,4,35,17,19,7,4,8,32,24,537,380,190,137,418,460,222,175,41,67,3,3,1.631578947368421,0.47368421052631576,0.21052631578947367,0.3157894736842105,1.763157894736842,1.0789473684210527,0.6842105263157895
28,Tottenham,2019/20,38,16,11,11,59,61,47,14,8,7,19,12,3,4,36,17,19,4,8,7,25,30,445,536,160,183,423,442,200,207,82,80,3,1,1.5526315789473684,0.42105263157894735,0.2894736842105263,0.2894736842105263,1.605263157894737,1.236842105263158,0.3684210526315789
32,Wolves,2019/20,38,15,14,9,59,51,40,11,13,8,19,8,7,4,27,19,19,7,7,5,24,21,459,396,145,129,406,384,193,148,57,80,2,5,1.5526315789473684,0.39473684210526316,0.3684210526315789,0.23684210526315788,1.3421052631578947,1.0526315789473684,0.2894736842105263
1,Arsenal,2019/20,38,14,14,10,56,56,48,8,10,7,19,10,6,3,36,24,19,4,8,7,20,24,410,554,151,194,421,459,231,229,86,79,5,1,1.4736842105263157,0.3684210526315789,0.3684210526315789,0.2631578947368421,1.4736842105263157,1.263157894736842,0.21052631578947367
6,Burnley,2019/20,38,15,9,14,54,43,50,-7,15,10,19,8,4,7,24,23,19,7,5,7,19,27,388,539,134,170,412,394,171,239,67,39,0,3,1.4210526315789473,0.39473684210526316,0.23684210526315788,0.3684210526315789,1.131578947368421,1.3157894736842106,-0.18421052631578946
25,Sheffield United,2019/20,38,14,12,12,54,39,39,0,13,12,19,10,3,6,24,15,19,4,9,6,15,24,354,430,115,140,410,326,212,218,61,45,2,0,1.4210526315789473,0.3684210526315789,0.3157894736842105,0.3157894736842105,1.0263157894736843,1.0263157894736843,0.0
26,Southampton,2019/20,38,15,7,16,52,51,60,-9,9,6,19,6,3,10,21,35,19,9,4,6,30,25,500,452,181,168,450,414,210,223,53,65,4,3,1.368421052631579,0.39473684210526316,0.18421052631578946,0.42105263157894735,1.3421052631578947,1.5789473684210527,-0.23684210526315788
11,Everton,2019/20,38,13,10,15,49,44,56,-12,9,10,19,8,7,4,24,21,19,5,3,11,20,35,470,427,162,148,472,410,203,182,70,59,3,2,1.2894736842105263,0.34210526315789475,0.2631578947368421,0.39473684210526316,1.1578947368421053,1.4736842105263157,-0.3157894736842105
22,Newcastle,2019/20,38,11,11,16,44,38,58,-20,11,13,19,6,8,5,20,21,19,5,3,11,18,37,395,567,131,200,370,434,151,252,65,55,3,2,1.1578947368421053,0.2894736842105263,0.2894736842105263,0.42105263157894735,1.0,1.5263157894736843,-0.5263157894736842
10,Crystal Palace,2019/20,38,11,10,17,43,31,50,-19,10,16,19,6,5,8,15,20,19,5,5,9,16,30,376,514,120,175,425,495,177,235,61,81,2,5,1.131578947368421,0.2894736842105263,0.2631578947368421,0.4473684210526316,0.8157894736842105,1.3157894736842106,-0.5
5,Brighton,2019/20,38,9,14,15,41,39,54,-15,9,13,19,5,7,7,20,27,19,4,7,8,19,27,461,498,142,170,385,340,178,204,56,61,2,1,1.0789473684210527,0.23684210526315788,0.3684210526315789,0.39473684210526316,1.0263157894736843,1.4210526315789473,-0.39473684210526316
31,West Ham,2019/20,38,10,9,19,39,49,62,-13,7,12,19,6,4,9,30,33,19,4,5,10,19,29,417,501,163,189,387,356,190,219,62,44,1,0,1.0263157894736843,0.2631578947368421,0.23684210526315788,0.5,1.2894736842105263,1.631578947368421,-0.34210526315789475
2,Aston Villa,2019/20,38,9,8,21,35,41,67,-26,7,11,19,7,3,9,22,30,19,2,5,12,19,37,459,607,150,185,451,543,200,242,68,78,1,7,0.9210526315789473,0.23684210526315788,0.21052631578947367,0.5526315789473685,1.0789473684210527,1.763157894736842,-0.6842105263157895
3,Bournemouth,2019/20,38,9,7,22,34,40,65,-25,5,15,19,5,6,8,22,30,19,4,1,14,18,35,389,558,121,195,369,419,194,251,73,67,3,3,0.8947368421052632,0.23684210526315788,0.18421052631578946,0.5789473684210527,1.0526315789473684,1.7105263157894737,-0.6578947368421053
29,Watford,2019/20,38,8,10,20,34,36,64,-28,9,16,19,6,6,7,22,27,19,2,4,13,14,37,424,500,120,183,484,356,167,201,75,65,3,1,0.8947368421052632,0.21052631578947367,0.2631578947368421,0.5263157894736842,0.9473684210526315,1.6842105263157894,-0.7368421052631579
23,Norwich,2019/20,38,5,6,27,21,26,75,-49,5,20,19,4,3,12,19,37,19,1,3,15,7,38,408,605,131,214,363,444,162,266,67,56,3,2,0.5526315789473685,0.13157894736842105,0.15789473684210525,0.7105263157894737,0.6842105263157895,1.9736842105263157,-1.2894736842105263
20,Man City,2020/21,38,27,5,6,86,83,32,51,19,3,19,13,2,4,43,17,19,14,3,2,40,15,604,285,219,100,361,389,247,112,46,59,2,2,2.263157894736842,0.7105263157894737,0.13157894736842105,0.15789473684210525,2.1842105263157894,0.8421052631578947,1.3421052631578947
21,Man United,2020/21,38,21,11,6,74,73,44,29,13,8,19,9,4,6,38,28,19,12,7,0,35,16,521,418,212,140,452,411,197,163,64,62,1,3,1.9473684210526316,0.5526315789473685,0.2894736842105263,0.15789473684210525,1.9210526315789473,1.1578947368421053,0.7631578947368421
18,Liverpool,2020/21,38,20,9,9,69,68,42,26,12,8,19,10,3,6,29,20,19,10,6,3,39,22,608,333,214,144,396,355,260,122,40,56,0,2,1.8157894736842106,0.5263157894736842,0.23684210526315788,0.23684210526315788,1.7894736842105263,1.105263157894737,0.6842105263157895
8,Chelsea,2020/21,38,19,10,9,67,58,36,22,18,10,19,9,6,4,31,18,19,10,4,5,27,18,558,336,209,109,433,377,227,160,48,53,3,3,1.763157894736842,0.5,0.2631578947368421,0.23684210526315788,1.5263157894736843,0.9473684210526315,0.5789473684210527
17,Leicester,2020/21,38,20,6,12,66,68,50,18,11,6,19,9,1,9,34,30,19,11,5,3,34,20,484,369,185,139,416,440,214,181,60,61,0,1,1.736842105263158,0.5263157894736842,0.15789473684210525,0.3157894736842105,1.7894736842105263,1.3157894736842106,0.47368421052631576
31,West Ham,2020/21,38,19,8,11,65,62,47,15,11,7,19,10,4,5,32,22,19,9,4,6,30,25,468,464,165,152,374,367,168,184,48,50,3,1,1.7105263157894737,0.5,0.21052631578947367,0.2894736842105263,1.631578947368421,1.236842105263158,0.39473684210526316
28,Tottenham,2020/21,38,18,8,12,62,68,45,23,12,6,19,10,3,6,35,20,19,8,5,6,33,25,444,488,176,158,439,494,168,201,53,77,2,1,1.631578947368421,0.47368421052631576,0.21052631578947367,0.3157894736842105,1.7894736842105263,1.1842105263157894,0.6052631578947368
1,Arsenal,2020/21,38,18,7,13,61,55,39,16,12,12,19,8,4,7,24,21,19,10,3,6,31,18,459,416,152,132,345,421,208,166,47,72,5,2,1.605263157894737,0.47368421052631576,0.18421052631578946,0.34210526315789475,1.4473684210526316,1.0263157894736843,0.42105263157894735
11,Everton,2020/21,38,17,8,13,59,47,48,-1,12,10,19,6,4,9,24,28,19,11,4,4,23,20,400,504,148,163,386,409,167,227,58,66,2,1,1.5526315789473684,0.4473684210526316,0.21052631578947367,0.34210526315789475,1.236842105263158,1.263157894736842,-0.02631578947368421
16,Leeds,2020/21,38,18,5,15,59,62,54,8,12,10,19,8,5,6,28,21,19,10,0,9,34,33,522,558,199,201,427,432,231,212,61,47,1,2,1.5526315789473684,0.47368421052631576,0.13157894736842105,0.39473684210526316,1.631578947368421,1.4210526315789473,0.21052631578947367
2,Aston Villa,2020/21,38,16,7,15,55,55,46,9,15,8,19,7,4,8,29,27,19,9,3,7,26,19,511,538,187,189,439,567,215,194,63,67,3,6,1.4473684210526316,0.42105263157894735,0.18421052631578946,0.39473684210526316,1.4473684210526316,1.2105263157894737,0.23684210526315788
22,Newcastle,2020/21,38,12,9,17,45,46,62,-16,7,12,19,6,5,8,26,33,19,6,4,9,20,29,397,572,142,193,388,432,161,229,61,57,3,3,1.1842105263157894,0.3157894736842105,0.23684210526315788,0.4473684210526316,1.2105263157894737,1.631578947368421,-0.42105263157894735
32,Wolves,2020/21,38,12,9,17,45,36,52,-16,10,13,19,7,4,8,21,25,19,5,5,9,15,27,462,442,154,157,425,404,209,186,53,60,0,5,1.1842105263157894,0.3157894736842105,0.23684210526315788,0.4473684210526316,0.9473684210526315,1.368421052631579,-0.42105263157894735
10,Crystal Palace,2020/21,38,12,8,18,44,41,66,-25,8,14,19,6,5,8,20,32,19,6,3,10,21,34,349,536,131,177,409,438,151,230,54,42,2,4,1.1578947368421053,0.3157894736842105,0.21052631578947367,0.47368421052631576,1.0789473684210527,1.736842105263158,-0.6578947368421053
26,Southampton,2020/21,38,12,7,19,43,47,68,-21,9,13,19,8,3,8,28,25,19,4,4,11,19,43,423,428,166,180,426,438,178,197,52,54,3,3,1.131578947368421,0.3157894736842105,0.18421052631578946,0.5,1.236842105263158,1.7894736842105263,-0.5526315789473685
