feature,importance
gf_last5_away,0.078654
gf_last3_away,0.068901
ga_last5_home,0.062345
away_ppg_last10,0.056789
xg_per_match_away,0.052109
gf_last10_away,0.047654
h2h_away_gf_avg,0.043210
prior_season_gf_away,0.039876
shots_per_match_last5_away,0.036543
ga_last3_home,0.033210
away_win_pct_last10,0.030987
xg_last5_away,0.028765
corners_per_match_last5_away,0.026543
gf_expanding_away,0.024321
h2h_count,0.022109
fouls_per_match_last5_home,0.019987
ga_last10_home,0.017865
away_goals_per_shot_last5,0.015743
prior_season_ppg_away,0.013621
shots_on_target_pct_away,0.011509
