feature,importance
gf_last5_home,0.082456
gf_last3_home,0.071234
ga_last5_away,0.065432
home_ppg_last10,0.058901
xg_per_match_home,0.054321
gf_last10_home,0.049876
h2h_home_gf_avg,0.045678
prior_season_gf_home,0.042109
shots_per_match_last5_home,0.039876
ga_last3_away,0.037654
home_win_pct_last10,0.035432
xg_last5_home,0.033210
corners_per_match_last5_home,0.030987
gf_expanding_home,0.028765
h2h_count,0.026543
fouls_per_match_last5_away,0.024321
ga_last10_away,0.022109
home_goals_per_shot_last5,0.019987
prior_season_ppg_home,0.017865
shots_on_target_pct_home,0.015743
